POSIX,source,app,x_x0,y_y0,t_t0,rstart,rstop
1492019723,122,1,0,0,0,,
1492021634,36,1,0,0,0,,
1492024095,97,1,0,0,6,,
1492025831,122,1,0,0,2,,
1492026875,94,1,0,0,3,,
1492029234,15,1,0,0,0,,
1492031454,28,1,0,0,6,,
1492033092,79,1,0,0,5,,
1492071473,125,1,0,0,7,,
1492072740,97,1,0,0,3,,
1492079895,30,1,0,0,1,,
1492080689,101,1,0,0,2,,
1492083181,99,1,0,0,0,,
1492086809,106,1,0,0,2,,
1492087058,58,1,0,0,1,,
1492087785,104,1,0,0,1,,
1492090284,36,1,0,0,2,,
1492097164,87,1,0,0,0,,
1492105137,127,1,0,0,5,,
1492105883,22,1,0,0,4,,
1492106852,107,1,0,0,2,,
1492107674,28,1,0,0,7,,
1492109297,85,1,0,0,0,,
1492113441,75,1,0,0,7,,
1492113485,89,1,0,0,0,,
1492113722,63,1,0,0,2,,
1492116663,56,1,0,0,2,,
1492157452,67,1,0,0,0,,
1492158406,38,1,0,0,7,,
1492159293,17,1,0,0,1,,
1492180356,65,1,0,0,2,,
1492185938,105,1,0,0,3,,
1492191990,81,1,0,0,1,,
1492193049,29,1,0,0,1,,
1492195012,72,1,0,0,6,,
1492195734,14,1,0,0,2,,
1492202959,38,1,0,0,4,,
1492204324,55,1,0,0,2,,
1492204909,10,1,0,0,5,,
1492210052,12,1,0,0,0,,
1492248528,62,1,0,0,5,,
1492258055,79,1,0,0,1,,
1492260793,55,1,0,0,6,,
1492261826,22,1,0,0,0,,
1492277437,29,1,0,0,3,,
1492279616,107,1,0,0,0,,
1492282048,97,1,0,0,2,,
1492282927,15,1,0,0,1,,
1492283585,118,1,0,0,0,,
1492284395,57,1,0,0,3,,
1492287617,115,1,0,0,2,,
1492290111,94,1,0,0,0,,
1492331869,107,1,0,0,1,,
1492331973,117,1,0,0,1,,
1492332935,82,1,0,0,1,,
1492334539,72,1,0,0,4,,
1492335240,117,1,0,0,2,,
1492335241,28,1,0,0,0,,
1492340256,101,1,0,0,6,,
1492340753,17,1,0,0,2,,
1492342481,38,1,0,0,4,,
1492350103,56,1,0,0,0,,
1492352040,54,1,0,0,1,,
1492353259,13,1,0,0,3,,
1492353719,10,1,0,0,2,,
1492355818,17,1,0,0,4,,
1492356912,39,1,0,0,1,,
1492358953,73,1,0,0,6,,
1492363576,101,1,0,0,3,,
1492364591,45,1,0,0,1,,
1492366454,85,1,0,0,0,,
1492369316,53,1,0,0,2,,
1492373020,37,1,0,0,1,,
1492373779,25,1,0,0,1,,
1492374346,76,1,0,0,0,,
1492374407,20,1,0,0,0,,
1492374481,69,1,0,0,1,,
1492375666,69,1,0,0,3,,
1492376482,39,1,0,0,0,,
1492376610,103,1,0,0,1,,
1492377777,74,1,0,0,1,,
1492378251,94,1,0,0,3,,
1492378381,68,1,0,0,1,,
1492416702,121,1,0,0,2,,
1492418111,47,1,0,0,5,,
1492421267,27,1,0,0,0,,
1492421724,20,1,0,0,5,,
1492422401,6,1,0,0,0,,
1492425115,77,1,0,0,0,,
1492425870,9,1,0,0,2,,
1492427009,86,1,0,0,3,,
1492429257,97,1,0,0,3,,
1492432447,88,1,0,0,0,,
1492433271,57,1,0,0,1,,
1492435959,53,1,0,0,0,,
1492446308,26,1,0,0,7,,
1492448493,65,1,0,0,5,,
1492448653,74,1,0,0,1,,
1492450725,3,1,0,0,1,,
1492451037,77,1,0,0,2,,
1492452045,69,1,0,0,0,,
1492453440,4,1,0,0,3,,
1492460644,27,1,0,0,1,,
1492461280,29,1,0,0,0,,
1492463800,43,1,0,0,3,,
1492464192,118,1,0,0,1,,
1492466664,28,1,0,0,0,,
1492510434,63,1,0,0,0,,
1492512199,97,1,0,0,4,,
1492512257,102,1,0,0,6,,
1492524639,49,1,0,0,1,,
1492530189,118,1,0,0,0,,
1492533064,26,1,0,0,4,,
1492533803,86,1,0,0,1,,
1492534890,17,1,0,0,3,,
1492535389,18,1,0,0,5,,
1492537670,81,1,0,0,1,,
1492541706,5,1,0,0,5,,
1492542494,45,1,0,0,5,,
1492543330,51,1,0,0,3,,
1492544390,63,1,0,0,7,,
1492545039,12,1,0,0,0,,
1492548617,48,1,0,0,4,,
1492555200,119,1,0,0,3,,
1492555770,87,1,0,0,0,,
1492592279,110,1,0,0,1,,
1492597056,56,1,0,0,2,,
1492597510,89,1,0,0,1,,
1492598396,82,1,0,0,2,,
1492599854,40,1,0,0,0,,
1492602466,12,1,0,0,6,,
1492603338,13,1,0,0,0,,
1492617132,57,1,0,0,1,,
1492618908,71,1,0,0,7,,
1492619741,124,1,0,0,1,,
1492626846,5,1,0,0,0,,
1492627831,44,1,0,0,3,,
1492629606,90,1,0,0,0,,
1492630570,48,1,0,0,3,,
1492632161,70,1,0,0,0,,
1492632980,127,1,0,0,0,,
1492634351,101,1,0,0,1,,
1492640313,46,1,0,0,2,,
1492640887,101,1,0,0,0,,
1492640994,53,1,0,0,7,,
1492642443,36,1,0,0,3,,
1492675691,121,1,0,0,3,,
1492680064,73,1,0,0,3,,
1492689172,112,1,0,0,1,,
1492690840,87,1,0,0,4,,
1492692913,99,1,0,0,4,,
1492695148,97,1,0,0,0,,
1492700130,35,1,0,0,1,,
1492701974,63,1,0,0,2,,
1492703872,40,1,0,0,0,,
1492705883,107,1,0,0,0,,
1492706862,67,1,0,0,6,,
1492707098,63,1,0,0,6,,
1492707110,8,1,0,0,5,,
1492709929,71,1,0,0,1,,
1492715797,20,1,0,0,6,,
1492716204,56,1,0,0,0,,
1492716964,27,1,0,0,1,,
1492726485,31,1,0,0,0,,
1492728650,115,1,0,0,1,,
1492771339,87,1,0,0,2,,
1492772124,125,1,0,0,4,,
1492778097,85,1,0,0,5,,
1492778457,115,1,0,0,2,,
1492780484,68,1,0,0,3,,
1492780893,33,1,0,0,0,,
1492785904,37,1,0,0,0,,
1492795870,82,1,0,0,0,,
1492799552,62,1,0,0,3,,
1492805095,39,1,0,0,6,,
1492809972,17,1,0,0,2,,
1492848236,62,1,0,0,7,,
1492849204,109,1,0,0,1,,
1492856026,80,1,0,0,5,,
1492858919,64,1,0,0,0,,
1492860672,36,1,0,0,1,,
1492861579,118,1,0,0,1,,
1492865491,96,1,0,0,0,,
1492866599,56,1,0,0,0,,
1492867640,42,1,0,0,1,,
1492868510,13,1,0,0,1,,
1492869976,44,1,0,0,1,,
1492871618,97,1,0,0,0,,
1492872145,85,1,0,0,6,,
1492873655,97,1,0,0,0,,
1492875107,56,1,0,0,1,,
1492875792,8,1,0,0,1,,
1492880801,65,1,0,0,2,,
1492884860,99,1,0,0,2,,
1492885874,80,1,0,0,3,,
1492886188,58,1,0,0,6,,
1492886493,117,1,0,0,0,,
1492888783,114,1,0,0,1,,
1492889632,38,1,0,0,0,,
1492889634,95,1,0,0,1,,
1492891719,47,1,0,0,2,,
1492894629,51,1,0,0,3,,
1492897440,117,1,0,0,0,,
1492897535,6,1,0,0,1,,
1492940542,56,1,0,0,1,,
1492942303,13,1,0,0,2,,
1492943001,15,1,0,0,3,,
1492952447,63,1,0,0,1,,
1492959598,78,1,0,0,1,,
1492968817,58,1,0,0,0,,
1492969829,37,1,0,0,0,,
1492970462,103,1,0,0,1,,
1492970626,82,1,0,0,1,,
1492970648,14,1,0,0,1,,
1492971430,95,1,0,0,0,,
1492976604,90,1,0,0,0,,
1492977740,57,1,0,0,0,,
1492982197,77,1,0,0,6,,
1492984810,72,1,0,0,0,,
1493024313,12,1,0,0,0,,
1493026489,112,1,0,0,0,,
1493034590,62,1,0,0,1,,
1493039659,14,1,0,0,2,,
1493040390,57,1,0,0,1,,
1493041389,62,1,0,0,1,,
1493046271,76,1,0,0,0,,
1493047087,62,1,0,0,3,,
1493051026,4,1,0,0,2,,
1493051275,15,1,0,0,1,,
1493051861,127,1,0,0,4,,
1493057891,123,1,0,0,6,,
1493061733,6,1,0,0,4,,
1493067196,125,1,0,0,1,,
1493070708,107,1,0,0,2,,
1493072400,28,1,0,0,0,,
1493073333,107,1,0,0,5,,
1493113031,2,1,0,0,0,,
1493130254,6,1,0,0,0,,
1493130426,104,1,0,0,0,,
1493143275,116,1,0,0,2,,
1493145786,77,1,0,0,1,,
1493145890,51,1,0,0,1,,
1493147674,98,1,0,0,7,,
1493148072,30,1,0,0,1,,
1493149543,63,1,0,0,0,,
1493150100,49,1,0,0,2,,
1493152487,4,1,0,0,7,,
1493157783,72,1,0,0,0,,
1493199333,77,1,0,0,0,,
1493201770,8,1,0,0,1,,
1493203507,104,1,0,0,4,,
1493206063,118,1,0,0,0,,
1493207189,112,1,0,0,0,,
1493209095,105,1,0,0,2,,
1493212180,97,1,0,0,4,,
1493213281,44,1,0,0,0,,
1493214727,54,1,0,0,2,,
1493216872,42,1,0,0,4,,
1493218095,101,1,0,0,1,,
1493218151,2,1,0,0,2,,
1493219718,76,1,0,0,2,,
1493221606,117,1,0,0,0,,
1493223467,27,1,0,0,0,,
1493223487,87,1,0,0,1,,
1493227199,63,1,0,0,5,,
1493228173,105,1,0,0,0,,
1493228247,97,1,0,0,1,,
1493233662,3,1,0,0,5,,
1493236965,92,1,0,0,5,,
1493238682,102,1,0,0,0,,
1493239482,54,1,0,0,0,,
1493243125,39,1,0,0,0,,
1493245194,69,1,0,0,1,,
1493282038,51,1,0,0,1,,
1493284048,17,1,0,0,2,,
1493284410,99,1,0,0,5,,
1493285348,76,1,0,0,4,,
1493291808,75,1,0,0,1,,
1493292251,37,1,0,0,3,,
1493294065,74,1,0,0,0,,
1493298233,98,1,0,0,7,,
1493298343,2,1,0,0,6,,
1493299877,64,1,0,0,0,,
1493300386,42,1,0,0,0,,
1493300439,115,1,0,0,4,,
1493301986,53,1,0,0,1,,
1493303181,56,1,0,0,0,,
1493306193,31,1,0,0,3,,
1493306725,105,1,0,0,5,,
1493310509,75,1,0,0,0,,
1493311625,21,1,0,0,1,,
1493317991,118,1,0,0,3,,
1493319039,117,1,0,0,0,,
1493324429,71,1,0,0,1,,
1493325702,42,1,0,0,0,,
1493327746,80,1,0,0,4,,
1493327915,74,1,0,0,0,,
1493328284,55,1,0,0,1,,
1493331368,25,1,0,0,5,,
1493331437,11,1,0,0,0,,
1493369839,73,1,0,0,6,,
1493372023,5,1,0,0,0,,
1493372110,110,1,0,0,0,,
1493374499,42,1,0,0,0,,
1493375727,114,1,0,0,3,,
1493389186,74,1,0,0,1,,
1493396435,16,1,0,0,4,,
1493398392,82,1,0,0,2,,
1493398590,48,1,0,0,0,,
1493402452,84,1,0,0,3,,
1493406393,18,1,0,0,2,,
1493406416,44,1,0,0,3,,
1493409699,123,1,0,0,0,,
1493411069,75,1,0,0,1,,
1493411978,11,1,0,0,3,,
1493412946,33,1,0,0,3,,
1493413431,116,1,0,0,1,,
1493417269,17,1,0,0,5,,
1493418096,76,1,0,0,5,,
1493454074,40,1,0,0,1,,
1493459748,42,1,0,0,0,,
1493461593,96,1,0,0,0,,
1493464226,48,1,0,0,2,,
1493470063,94,1,0,0,0,,
1493477200,126,1,0,0,3,,
1493477333,15,1,0,0,2,,
1493482131,42,1,0,0,1,,
1493484716,14,1,0,0,3,,
1493484738,116,1,0,0,0,,
1493484907,60,1,0,0,1,,
1493485824,123,1,0,0,0,,
1493486242,105,1,0,0,1,,
1493491010,56,1,0,0,4,,
1493491871,65,1,0,0,1,,
1493492945,18,1,0,0,6,,
1493497673,73,1,0,0,6,,
1493498383,31,1,0,0,1,,
1493500947,54,1,0,0,7,,
1493502041,40,1,0,0,1,,
1493504041,110,1,0,0,3,,
1493542324,80,1,0,0,7,,
1493543125,114,1,0,0,0,,
1493546124,79,1,0,0,5,,
1493549267,81,1,0,0,4,,
1493550055,40,1,0,0,1,,
1493552195,56,1,0,0,3,,
1493552220,115,1,0,0,0,,
1493557515,33,1,0,0,0,,
1493557874,30,1,0,0,6,,
1493561199,92,1,0,0,1,,
1493567097,25,1,0,0,0,,
1493570561,46,1,0,0,0,,
1493570743,63,1,0,0,7,,
1493572638,20,1,0,0,0,,
1493572788,107,1,0,0,5,,
1493573656,113,1,0,0,2,,
1493577823,80,1,0,0,1,,
1493580633,19,1,0,0,4,,
1493581253,48,1,0,0,1,,
1493583479,94,1,0,0,1,,
1493584929,81,1,0,0,7,,
1493584946,121,1,0,0,6,,
1493626306,15,1,0,0,1,,
1493628193,119,1,0,0,6,,
1493634043,70,1,0,0,0,,
1493636951,75,1,0,0,5,,
1493637374,29,1,0,0,0,,
1493638001,71,1,0,0,2,,
1493638508,64,1,0,0,0,,
1493639471,113,1,0,0,0,,
1493639484,102,1,0,0,1,,
1493642643,88,1,0,0,1,,
1493647033,7,1,0,0,1,,
1493647638,119,1,0,0,3,,
1493649360,124,1,0,0,4,,
1493651950,21,1,0,0,0,,
1493653886,44,1,0,0,1,,
1493654945,67,1,0,0,0,,
1493656900,15,1,0,0,2,,
1493657779,95,1,0,0,1,,
1493658105,121,1,0,0,1,,
1493660554,82,1,0,0,0,,
1493663055,2,1,0,0,1,,
1493666664,92,1,0,0,1,,
1493668584,52,1,0,0,3,,
1493668974,62,1,0,0,1,,
1493670661,110,1,0,0,1,,
1493672694,3,1,0,0,0,,
1493677815,92,1,0,0,3,,
1493678721,109,1,0,0,3,,
1493718784,10,1,0,0,3,,
1493722076,89,1,0,0,0,,
1493731728,125,1,0,0,0,,
1493738008,8,1,0,0,4,,
1493740561,25,1,0,0,1,,
1493741440,71,1,0,0,0,,
1493744958,29,1,0,0,6,,
1493745096,14,1,0,0,4,,
1493745100,27,1,0,0,0,,
1493745809,68,1,0,0,4,,
1493746515,85,1,0,0,1,,
1493749998,73,1,0,0,4,,
1493756673,109,1,0,0,1,,
1493761895,104,1,0,0,2,,
1493763571,121,1,0,0,0,,
1493763747,53,1,0,0,6,,
1493764366,116,1,0,0,5,,
1493765653,36,1,0,0,6,,
1493798964,4,1,0,0,1,,
1493801082,5,1,0,0,4,,
1493803403,77,1,0,0,2,,
1493806643,94,1,0,0,0,,
1493806931,85,1,0,0,3,,
1493807827,87,1,0,0,0,,
1493810158,30,1,0,0,1,,
1493819923,95,1,0,0,0,,
1493826912,112,1,0,0,0,,
1493827018,7,1,0,0,2,,
1493827589,37,1,0,0,2,,
1493829263,78,1,0,0,0,,
1493831656,18,1,0,0,5,,
1493832510,106,1,0,0,2,,
1493833091,40,1,0,0,2,,
1493835999,2,1,0,0,7,,
1493847944,105,1,0,0,0,,
1493888164,53,1,0,0,0,,
1493893451,102,1,0,0,0,,
1493895196,106,1,0,0,5,,
1493895965,17,1,0,0,1,,
1493897505,86,1,0,0,0,,
1493899525,20,1,0,0,6,,
1493902107,119,1,0,0,3,,
1493902481,36,1,0,0,2,,
1493905481,37,1,0,0,1,,
1493910825,26,1,0,0,1,,
1493915726,10,1,0,0,0,,
1493919750,52,1,0,0,3,,
1493920341,49,1,0,0,0,,
1493922867,34,1,0,0,0,,
1493923472,94,1,0,0,0,,
1493925318,88,1,0,0,1,,
1493931182,103,1,0,0,1,,
1493931782,89,1,0,0,1,,
1493933066,99,1,0,0,1,,
1493936534,76,1,0,0,6,,
1493971864,48,1,0,0,2,,
1493975054,40,1,0,0,1,,
1493977439,40,1,0,0,3,,
1493985985,56,1,0,0,1,,
1493989223,96,1,0,0,0,,
1493990726,102,1,0,0,2,,
1493991911,102,1,0,0,2,,
1494000402,40,1,0,0,1,,
1494007688,10,1,0,0,0,,
1494007971,26,1,0,0,2,,
1494010179,43,1,0,0,1,,
1494015726,54,1,0,0,2,,
1494019967,107,1,0,0,5,,
1494060479,43,1,0,0,0,,
1494061432,18,1,0,0,5,,
1494062925,68,1,0,0,1,,
1494067116,29,1,0,0,1,,
1494072235,5,1,0,0,4,,
1494072536,107,1,0,0,4,,
1494074427,47,1,0,0,5,,
1494074657,15,1,0,0,2,,
1494076152,3,1,0,0,1,,
1494076531,115,1,0,0,1,,
1494082947,30,1,0,0,6,,
1494083053,118,1,0,0,0,,
1494083380,6,1,0,0,4,,
1494083434,123,1,0,0,2,,
1494084118,96,1,0,0,4,,
1494086381,21,1,0,0,0,,
1494090384,31,1,0,0,3,,
1494091118,109,1,0,0,3,,
1494091391,44,1,0,0,1,,
1494091994,73,1,0,0,3,,
1494092520,98,1,0,0,0,,
1494095177,81,1,0,0,3,,
1494096458,47,1,0,0,6,,
1494096960,115,1,0,0,5,,
1494097393,33,1,0,0,1,,
1494106458,57,1,0,0,0,,
1494110002,27,1,0,0,2,,
1494110902,87,1,0,0,0,,
1494144990,79,1,0,0,5,,
1494145860,21,1,0,0,4,,
1494147764,35,1,0,0,5,,
1494148871,84,1,0,0,1,,
1494152827,65,1,0,0,2,,
1494152955,102,1,0,0,3,,
1494153700,57,1,0,0,1,,
1494154126,25,1,0,0,3,,
1494158848,95,1,0,0,7,,
1494160423,104,1,0,0,4,,
1494162498,14,1,0,0,0,,
1494163113,65,1,0,0,1,,
1494163563,102,1,0,0,4,,
1494167191,47,1,0,0,5,,
1494174495,106,1,0,0,2,,
1494179158,125,1,0,0,3,,
1494179403,62,1,0,0,1,,
1494181408,38,1,0,0,2,,
1494185421,12,1,0,0,1,,
1494196827,46,1,0,0,1,,
1494231464,8,1,0,0,5,,
1494232922,53,1,0,0,0,,
1494234458,88,1,0,0,2,,
1494235941,40,1,0,0,4,,
1494236023,73,1,0,0,2,,
1494238874,15,1,0,0,0,,
1494240923,6,1,0,0,6,,
1494251784,3,1,0,0,1,,
1494253526,90,1,0,0,2,,
1494256450,92,1,0,0,2,,
1494256459,44,1,0,0,3,,
1494260978,20,1,0,0,2,,
1494265810,3,1,0,0,0,,
1494267563,113,1,0,0,0,,
1494270865,30,1,0,0,6,,
1494275662,76,1,0,0,0,,
1494276941,39,1,0,0,3,,
1494280382,86,1,0,0,4,,
1494321006,46,1,0,0,0,,
1494323761,73,1,0,0,1,,
1494325859,87,1,0,0,3,,
1494330496,75,1,0,0,0,,
1494334434,39,1,0,0,1,,
1494336096,15,1,0,0,1,,
1494337444,106,1,0,0,0,,
1494343480,115,1,0,0,1,,
1494345152,29,1,0,0,0,,
1494346309,104,1,0,0,1,,
1494348670,55,1,0,0,1,,
1494351019,89,1,0,0,3,,
1494352175,123,1,0,0,1,,
1494353347,36,1,0,0,0,,
1494366370,53,1,0,0,2,,
1494367931,104,1,0,0,1,,
1494370237,38,1,0,0,7,,
1494406202,72,1,0,0,1,,
1494408392,54,1,0,0,0,,
1494409351,14,1,0,0,3,,
1494412330,35,1,0,0,5,,
1494414361,106,1,0,0,0,,
1494414824,63,1,0,0,2,,
1494416122,117,1,0,0,1,,
1494419034,105,1,0,0,0,,
1494419487,115,1,0,0,5,,
1494421211,38,1,0,0,3,,
1494422828,127,1,0,0,1,,
1494425654,40,1,0,0,1,,
1494426511,68,1,0,0,1,,
1494427693,75,1,0,0,1,,
1494439168,38,1,0,0,4,,
1494440854,99,1,0,0,0,,
1494441742,122,1,0,0,2,,
1494442559,37,1,0,0,2,,
1494443415,85,1,0,0,6,,
1494444469,102,1,0,0,1,,
1494446254,16,1,0,0,1,,
1494446819,78,1,0,0,1,,
1494450000,69,1,0,0,4,,
1494451737,58,1,0,0,3,,
1494494384,79,1,0,0,2,,
1494496128,118,1,0,0,0,,
1494503338,101,1,0,0,5,,
1494505468,105,1,0,0,2,,
1494509047,99,1,0,0,0,,
1494510911,22,1,0,0,2,,
1494512918,113,1,0,0,0,,
1494513078,126,1,0,0,0,,
1494518498,17,1,0,0,1,,
1494520152,125,1,0,0,1,,
1494520559,4,1,0,0,1,,
1494520713,48,1,0,0,3,,
1494521956,78,1,0,0,2,,
1494522509,127,1,0,0,0,,
1494522874,78,1,0,0,6,,
1494525714,102,1,0,0,3,,
1494527514,84,1,0,0,0,,
1494527840,11,1,0,0,0,,
1494531385,102,1,0,0,0,,
1494531499,47,1,0,0,5,,
1494532041,63,1,0,0,0,,
1494584688,108,1,0,0,1,,
1494586408,74,1,0,0,5,,
1494587224,20,1,0,0,3,,
1494588958,49,1,0,0,1,,
1494595871,29,1,0,0,4,,
